,0,1,2,3,4,Clinda1,Clinda2,Clinda3,Clinda4,Clinda5,Clinda6,Clinda8,Levo1,Levo2,Levo3,Levo4,Levo5,Levo6,Levo7,Levo8,NoAbx1,NoAbx2,NoAbx3,NoAbx4,NoAbx5,NoAbx6,NoAbx7,NoAbx8,Piptazo1,Piptazo2,Piptazo3,Piptazo4,Piptazo5,Piptazo6,Piptazo7,Piptazo8,PTClinda1,PTClinda2,PTClinda3,PTClinda4,PTClinda5,PTClinda6,PTClinda7,PTClinda8
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,0,0,0,0,0,0,0,0.095284489,0.089185393,0.040597758,0.044485767,0.084519982,0.044268998,0.035799523,0.018395795,0.065685064,0.037421384,0.057037001,0.052501127,0.115926656,0.054657429,0.084033613,0.049370175,0,0,0,0,0.002982938,0,0,0,0,0,0,0,0.000435066,0,0,0.000447628
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053694234,0.031761006,0.011724272,0.033198137,0.035762994,0.022324865,0,0.050386022,0.003033175,0,0.000295035,0,0,0,0.001196252,0,0,0.000744407,0,0,0,0,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002830189,0.008677424,0.002027941,0.010910744,0.001924557,0.016806723,0.006907761,0.001137441,0,0.000210739,0,0,0,0.000465209,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008640451,0,0.012918637,0.014871564,0.012981765,0.018090839,0,0.016863064,0.013080569,0.002109705,0,0,0.003639184,0,0.007243969,0,0,0.005794302,0.006429834,0,0.001196432,0.001141987,0.002208155,0.013727246
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Marinifilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001498854,0.003459119,0.00285185,0.000976416,0.000858716,0,0,0,0,0,0,0,0,0,0.000199375,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006445498,0,0.000252887,0,0,0,0,0,0.001104085,0.000865122,0.003697155,0,0.002827931,0.001776424,0,0.012682781
d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae,d__Bacteria,p__Deferribacterota,c__Deferribacteres,o__Deferribacterales,f__Deferribacteraceae,0,0,0,0,0,0,0,0.002435698,0,0.030635118,0.034329853,0,0.016495136,0,0,0,0,0,0.016373742,0.006465626,0,0,0.012393336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006714414
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010227473,0.01163522,0.01542924,0.022607781,0.027175835,0.030792918,0,0.009955303,0,0,8.43E-05,0,0,0,0,0,0,0.001388218,0,0,0,0,0,0
